,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
5259,4.636587005800943e-06,-6.8908039771373915,1717.4537112449686,1727.0663542944105,1871.3136476062004,1880.9319254087202,1890.5451130103584,1909.779287050018,1919.399347545294,2428.903070869908,2438.522395144355,2611.598898822116,2621.2227139855654,2630.8289827757435,2650.0691141309826,2659.6722036292776,-3.523702967762898,0.029490032096699148,0.6587455571457148,0.46240322662774536,0.2257599452998531,-2.1549149188153316,0.11591305221315533,9.61421823897558,1717.4774179781762,0
5260,-2.9212561576417575e-05,-6.897232455821249,1717.4524247660424,1727.0651518380132,1871.2993298296192,1880.9403784390495,1890.5442807922627,1909.7797165650736,1919.3979406273104,2428.9000915377737,2438.526278657758,2611.5956853798853,2621.2177588860122,2630.8336061498235,2650.0792584449396,2659.668095993163,-3.5989707023014677,0.027351861171000365,0.11544629917328746,0.43289519867602677,0.3356635251521174,-2.16482110110891,0.11477046506971547,9.614244016614748,1717.4756107114795,0
5261,-2.3186446314735933e-05,-6.889496496109754,1717.4533243153285,1727.0719895387808,1871.3045309528782,1880.9152474925554,1890.5409306741724,1909.7802144057912,1919.4024175096692,2428.894549440223,2438.5237686948676,2611.6022633902794,2621.218403905931,2630.83683656476,2650.075298786927,2659.6716818025134,-3.5912468650369482,0.02756394047423434,0.15558457983035529,0.3910824448179755,0.4097415442827461,-2.1840239793374243,0.11258756783791303,9.614267060304929,1717.4738172225307,0
5262,-3.870614315661029e-06,-6.881365325246045,1717.4529785831276,1727.0817140495365,1871.3056301075505,1880.9249725738953,1890.5423613593518,1909.7820078579637,1919.3965344227688,2428.8937509105695,2438.517869274537,2611.6024740675844,2621.2172421917503,2630.8351372115994,2650.08253027831,2659.6703186511345,-3.4840762828932945,0.03068208691198931,0.7972337287109876,0.3342973335644488,0.13504096073369043,-2.14615196750894,0.1169332561156462,9.614230799989672,1717.4766840247933,0
5263,-2.1473496477853003e-05,-6.888257433680775,1717.4543417180596,1727.0680222617566,1871.307001146188,1880.942093339028,1890.5394485489073,1909.784151706538,1919.3990951938167,2428.9089381308054,2438.5250652024547,2611.5935302158714,2621.214462798888,2630.8230312246046,2650.0667595991326,2659.6687964057296,-3.581779597926543,0.027826134834991485,0.22252427702785987,0.3230801261523977,0.4276137314427084,-2.152038081870379,0.11624699528373114,9.614167222755025,1717.4791788807797,0
5264,4.3606463136461675e-06,-6.889843279773121,1717.453455823465,1727.0641652221298,1871.3050594449946,1880.9273108092125,1890.5488425154217,1909.7741287293568,1919.3992319665974,2428.8991385981467,2438.522261554155,2611.6041059662584,2621.216581538607,2630.8338069492647,2650.0831675884706,2659.669002359764,-3.5271740270929577,0.029387847891959834,0.44996871521506193,0.3379544096879701,0.15290030931719656,-2.1724454195287635,0.11389874585403172,9.614273925602808,1717.4740933255307,0
5265,6.277901194685196e-06,-6.877418486783121,1717.4534898543013,1727.0631388816762,1871.3069423660206,1880.9320097613643,1890.5369219851216,1909.7876907662962,1919.3994264707458,2428.9079408408243,2438.521154408717,2611.5968735325196,2621.2159517585656,2630.823057993727,2650.074374135761,2659.66907001853,-3.553299296969312,0.028630024704917868,0.24650603026582432,0.2749943522811278,0.4040482391019926,-2.1702498281326057,0.11414909569286794,9.614216294410697,1717.4761805066337,0
5266,7.788749887645774e-06,-6.893031342059702,1717.4575155301095,1727.0691745045121,1871.3070936269464,1880.9368836036379,1890.5474181009993,1909.7883551961395,1919.4016016928329,2428.904897542506,2438.5157180693345,2611.5992075740346,2621.214352966214,2630.8294483742593,2650.0658162296863,2659.670765457861,-3.5665765423275477,0.028252409236232682,0.16202007921347392,0.4273447672672761,0.17764428088800255,-2.153074768856915,0.11612654598139613,9.614154567477948,1717.4807938894596,0
5267,-2.425695023408133e-05,-6.8809272108875845,1717.452093579883,1727.0743942170716,1871.307069597929,1880.9280203082944,1890.5430540370844,1909.7847737841646,1919.3978102167239,2428.904924447452,2438.5269440578404,2611.5952972853033,2621.219790451678,2630.8325506358806,2650.0843908476645,2659.6733267748637,-3.556217705321526,0.02854659240567124,0.40219406304176136,0.41509570198853973,0.3181809924340049,-2.174103537931111,0.11371004473515962,9.614254134999396,1717.4768369412338,0
5268,3.840900068720854e-06,-6.884279244128215,1717.454386667074,1727.082199101305,1871.3035548865769,1880.937234194117,1890.5458230342201,1909.7757809792322,1919.3976379443627,2428.906721849637,2438.522002561829,2611.5984990590255,2621.215869730485,2630.8312986986098,2650.075436128655,2659.668189599083,-3.5221987937383368,0.029534423614876956,0.6175461823046348,0.2931738554851506,0.2754000299878421,-2.1737820087511164,0.1137466117109603,9.6141924232376,1717.4793058661696,0
